common_name,tree_registry_id,tree_nickname,tree_score,height_(m),DBH_(m),crown_spread_(m),last _measured,year_nominated,location,nearest_town,ownership,ownership_details,latitude,longitude,elevation_m,access_notes,tree_site_notes,Principle nominator,Co-nominator 1,Co-nominator 2,Co-nominator 3,Verifier,has_photo
jack pine,46,,,18.3,0.2,,1961,1961,Petitot/Stanislaus,Fort Nelson,Provincial land,,missing,,,Petitot R/Stanislaus Cr.,Extensive stand of trees to 23m (75') tall.,F.S. Bailey,,,,F.S. Bailey,0
coastal Douglas-fir,47,Red Creek Fir,784,74,4.23,23,1998,1976,Red Creek,Port Renfrew,Provincial land,,48.579422,-124.222922,100,"For excellent driving directions from Victoria BC, see https://www.ancientforestalliance.org/directions-red-creek-fir.php.   The tree is located off Red Creek Mainline and is accessed along a trail approximately 1/2 km from the road.  The trail head GPS is -124.22668 by 48.57998. The actual tree location is -124.220905 by 48.579422.","It is one of largest known of its species and of the pine family. It is the only known tree on earth (except coast redwoods and giant sequoias) to be 7 feet thick, 144 feet off the ground.  The tree has a large, healthy crown, huge branches and a broken top. It is on a reserve.  Mid slope, toe mesoslope, aspect north.",Al Carder,,,,Al Carder,1
subalpine fir*,49,,252,18,1.51,6,1990,1980,Whistler Mountain,Whistler,Institution/corp.,Whistler Blackcomb,50.072576,-122.935694,1615,"Tree located approximately 100 m east of Dad's Run Ski Trail, approximately 100 m up slope from  Mom's Run Ski Trail.","Broken top. Tree has decay in trunk and is in poor condition although living.  Site aspect north, slope approximately 35-40%, middle slope, concave.",Randy Stoltmann,,,,Randy Stoltmann,0
yellow-cedar*,50,,421,40,2.28,11,1997,1980,Cypress Creek,West Vancouver,Parks/reserves,Cypress PP,49.380741,-123.192826,860,West side of Cypress Parkway near cross-country ski area turn-off.,"This is one of largest known yellow-cedars.  One meter increment core taken in 1986 has 1,110 annual rings, total age ±1,200 years (core at Forintek Canada Corp.).  Road fill was found against the trunk.  Aspect WSW, slope approx. 75% middle slope, mid-macro slope, upper mesoslope, Hm-Ba-twisted stalk site association, CWHvm2, montane.",Randy Stoltmann,,,,Robert VanPelt,0
Pacific dogwood,51,,196,14,1.13,13,1993,1980,Dundarave,West Vancouver,Private land,,49.336681,-123.183018,,"Private land - please respect private property and view from a distance.  Tree is in front garden on 2513 Kings Avenue, West Vancouver, B.C.",Designated a West Vancouver Heritage Tree.  Level upland site. CWHxm1,Randy Stoltmann,,,,Randy Stoltmann,0
red alder,52,,354,24.6,2.11,15,2016,1980,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.303437,-123.156758,15,Tree located approximately 30m northwest of Third Beach concession stand on grass bank above seawall.,"All main (primary) limbs were topped by pruning. This appeared to have occurred sometime between 2009 and 2016. The tree appeared to have relatively good vigour. Healthy, multiple stemmed tree. Other very large specimens of same species in vicinity. West aspect, 35% slope, upper slope, convex. CWHdm.",Randy Stoltmann,,,,Ira Sutherland,1
bigleaf maple,54,,505,29.5,3.19,17,2019,1980,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.30492,-123.15322,40,"Immediately adjacent Rawlings Trail, ~200m south of Hollow Tree. Follow 2019 gps coordinates, which should be accurate to <6m. ",Lots of cobbles on mid slope site. Mostly second-growth conifers believed to have regenerated following Hurricane Freda (1962).,Randy Stoltmann,,,,Sutherland/Muc,1
bitter cherry*,55,,177,15,0.94,14,1988,1981,Snug Cove,Bowen Island,Municipal/city,,49.37951,-123.336102,10,"From Snug Cove Ferry Terminal, follow main street to Post Office. Tree is beside Post Office.","Tree is beside a post office. It is used as a ""Bulletin Board"" - tacks and staples may be affecting the tree.  Circumference was measured at 0.9m.",Randy Stoltmann,,,,Randy Stoltmann,0
bigleaf maple,56,,533,29,3.41,20,1992,1980,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.304988,-123.152831,40,"Follow Rawlings Trail ~200m south of Hollow Tree to large trailside maple (tree 54). Target tree is visible ~50m east. Follow 2019 gps coordinates, which should be accurate to <6m. ","2019 (DBH 3.37, Crown 22.3); 2016 (Ht 32.1, DBH 3.35). Middle slope, straight.  WSW aspect, ca. 10% slope.",Randy Stoltmann,,,,Randy Stoltmann,1
western hemlock*,58,,379,76,0.99,9,1983,1983,Tahsish River,Port Alice,Parks/reserves,Tahsish-Kwois PP,50.177931,-127.127643,10,Follow Tahsish River to just downstream from Tahsish River/Kwois Creek confluence. (Site found in Tahsish-Kwois Provincial Park on Vancouver Island),Level alluvial site. CWHvh1.,Randy Stoltmann,Hans Roemer,,,Randy Stoltmann,0
Garry oak,59,,307,24,1.67,24,1984,1984,Wain Rd.,North Saanich,Private land,,48.675706,-123.438707,,"Private land - please respect private property and view from a distance.  Tree is located at 1435 Wain Rd., North Saanich."," For more information see the Heritage Tree Book: Chaster, G.H., D.W. Ross, and W.H. Warren. 1988. Trees of Greater Victoria: A Heritage: A Field Guide to the Arboreal Riches of Greater Victoria.  The tree is located in the CDFmm subzone.",Randy Stoltmann,,,,Randy Stoltmann,0
western redcedar*,60,,873,37,5.96,15,1990,1984,N Cheewhat L.,Youbou,Parks/reserves,Pacific Rim NP Reserve,48.7007,-124.75124,25,"North of Cheewhat Lake.  From Rosander Mainline, follow roads T23 and T23B past Doobah Lake to near Park boundary. Rough trail leads to Cheewhat Lake.  The GPS co-ordinates for the trail head are 48.70175, -124.75104.  Tree is near Park boundary, west of the trail and visible from Road T23B.","Tree has a broken top.  South aspect, 30% slope, upper slope, convex.",Randy Stoltmann,,,,Randy Stoltmann,1
arbutus,62,Seafield Arbutus,289,21,1.62,23,2000,1984,Esquimalt Lagoon,Esquimalt,Private land,,hidden,,10,Private land - exact location is withheld.,A beautiful healthy arbutus on a flat farm close the ocean.  The tree shades an old cottage believed to have been used by Emily Carr.,Al Carder,,,,A MacKinnon,1
