common_name,tree_registry_id,tree_nickname,tree_score,height_(m),DBH_(m),crown_spread_(m),last _measured,year_nominated,location,nearest_town,ownership,ownership_details,latitude,longitude,elevation_m,access_notes,tree_site_notes,Principle nominator,Co-nominator 1,Co-nominator 2,Co-nominator 3,Verifier,has_photo
Pacific dogwood,51,,196,14.0,1.13,13.0,1993,1980,Dundarave,West Vancouver,Private land,,49.336681,-123.183018,,"Private land - please respect private property and view from a distance.  Tree is in front garden on 2513 Kings Avenue, West Vancouver, B.C.",Designated a West Vancouver Heritage Tree.  Level upland site. CWHxm1,Randy Stoltmann,,,,Randy Stoltmann,0
red alder,52,,354,24.6,2.11,15.0,2016,1980,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.303437,-123.156758,15,Tree located approximately 30m northwest of Third Beach concession stand on grass bank above seawall.,"All main (primary) limbs were topped by pruning. This appeared to have occurred sometime between 2009 and 2016. The tree appeared to have relatively good vigour. Healthy, multiple stemmed tree. Other very large specimens of same species in vicinity. West aspect, 35% slope, upper slope, convex. CWHdm.",Randy Stoltmann,,,,Ira Sutherland,1
bigleaf maple,54,,505,29.5,3.19,17.0,2019,1980,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.304920,-123.153220,40,"Immediately adjacent Rawlings Trail, ~200m south of Hollow Tree. Follow 2019 gps coordinates, which should be accurate to <6m. ",Lots of cobbles on mid slope site. Mostly second-growth conifers believed to have regenerated following Hurricane Freda (1962).,Randy Stoltmann,,,,Sutherland/Muc,1
bitter cherry*,55,,177,15.0,0.94,14.0,1988,1981,Snug Cove,Bowen Island,Municipal/city,,49.379510,-123.336102,10,"From Snug Cove Ferry Terminal, follow main street to Post Office. Tree is beside Post Office.","Tree is beside a post office. It is used as a ""Bulletin Board"" - tacks and staples may be affecting the tree.  Circumference was measured at 0.9m.",Randy Stoltmann,,,,Randy Stoltmann,0
bigleaf maple,56,,533,29.0,3.41,20.0,1992,1980,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.304988,-123.152831,40,"Follow Rawlings Trail ~200m south of Hollow Tree to large trailside maple (tree 54). Target tree is visible ~50m east. Follow 2019 gps coordinates, which should be accurate to <6m. ","2019 (DBH 3.37, Crown 22.3); 2016 (Ht 32.1, DBH 3.35). Middle slope, straight.  WSW aspect, ca. 10% slope.",Randy Stoltmann,,,,Randy Stoltmann,1
Garry oak,59,,307,24.0,1.67,24.0,1984,1984,Wain Rd.,North Saanich,Private land,,48.675706,-123.438707,,"Private land - please respect private property and view from a distance.  Tree is located at 1435 Wain Rd., North Saanich."," For more information see the Heritage Tree Book: Chaster, G.H., D.W. Ross, and W.H. Warren. 1988. Trees of Greater Victoria: A Heritage: A Field Guide to the Arboreal Riches of Greater Victoria.  The tree is located in the CDFmm subzone.",Randy Stoltmann,,,,Randy Stoltmann,0
arbutus,62,Seafield Arbutus,289,21.0,1.62,23.0,2000,1984,Esquimalt Lagoon,Esquimalt,Private land,,hidden,,10,Private land - exact location is withheld.,A beautiful healthy arbutus on a flat farm close the ocean.  The tree shades an old cottage believed to have been used by Emily Carr.,Al Carder,,,,A MacKinnon,1
Garry oak,63,Genevieve Sangster Oak,284,29.5,1.37,21.9,2000,1984,Mills Rd.,North Saanich,Private land,,48.655800,-123.444491,10,"Private land - please respect private property and view from a distance.  
The tree is on private farmland across from Holy Trinity Church and West Saanich Rd.","Healthy,  on private farmland. The tallest tree in a grove of 12 oaks known as the ""Genevieve Sangster Oaks"".",Al Carder,,,,Hans Roemer,1
arbutus,64,,313,24.4,1.78,15.2,2002,1984,Garnet Point,Savary Island,Private land,,49.940556,-124.776944,15,Private land - please respect private property and view from a distance.  Savory Shores subdivision.  Owner has fenced the tree to protect it.,Very healthy.,Randy Stoltmann,,,,Kathy Dunster,1
Garry oak,66,,286,24.0,1.50,24.0,1984,1984,North Saanich,North Saanich,Unknown,,missing,,,,Healthy.,Al Carder,,,,Al Carder,0
