common_name,tree_registry_id,tree_nickname,tree_score,height_(m),DBH_(m),crown_spread_(m),last_measured,year_nominated,location,nearest_town,ownership,ownership_details,latitude,longitude,elevation_m,access_notes,tree_site_notes,Principle nominator,Co-nominator 1,Co-nominator 2,Co-nominator 3,Verifier,tree_type,has_photo,all photo formula,highside_DBH(m),top_lists,tree_sp_code,sp_split_range
arbutus,281,,"398""",27,2.26,25.6,2021,2002,Nanoose Transmit,Parksville,Woodlot Lic.,13,49.27415,-124.222067,,"Nanoose Transmitter Site, Woodlot #13.",Healthy.,Tom Gray,,,,Tom Gray,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/281_Ra_Nanoose_BB_2.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/281_Ra_Nanoose_AL_1.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/281_Ra_Nanoose_AL_2.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/281_Ra_Nanoose_AL_3.jpg"" target=""_blank"">4</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/281_Ra_Nanoose_BB_2.jpg"" target=""_blank"">5</a>",,1,10,
arbutus,423,Cloake Hill Colossus,"388""",39.3,1.92,27.1,2016,2016,Cloake Hill,North Saanich,Private land,,48.68835,-123.442833,104,"The tree is near the intersection of Hillgrove Rd. and Sumac Dr. in North Saanich, approximately 150m west of Sumac and 50m north of Hillgrove.  The property is sign posted private property but public access is permitted by Strata #804.",The tree branches into three vertical columns at approximately 1.5 meters.  It is in good health.  The terrain is gentle to moderate slope (3-12%) with numerous gaps and openings.   A couple of fir trees are growing up with in its canopy.,Ray Rogers,,,,Gordon Joyce,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/423_Ra_Cloake_1b.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/423_Ra_Cloake_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/423_Ra_Cloake_3.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/423_Ra_Cloake_4.jpg"" target=""_blank"">4</a>   ",,1,10,
arbutus,562,,"362""",21.2,2.2,25.8,2020,2020,East Saanich Road,Saanichton,Municipal/city,,48.60853,-123.42113,,Right off footpath that runs parallel to East Saanich Road. Easily accessible.,"Height to dead top 26.2, height to live top 21.2",Simon Lightbody,,,,Hans Roemer,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/562_Ra_EastSaanich_HR_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/562_Ra_EastSaanich_HR_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/562_Ra_EastSaanich_SL.jpg"" target=""_blank"">3</a>      ",,1,10,
arbutus,233,,344,22.9,2.03,21.3,2000,2000,North End Rd.,Salt Spring Island,Private land,,48.881067,-123.530349,,Private land - please respect private property and view from a distance.  The tree is at 1077 North End Rd.,Healthy.,Karl Fuss,,,,Gerard Blom,b,0,,,1,10,
arbutus,1310,,"340""",20.1,2.08,20,2022,2023,Beachcomber RP,Nanoose,Parks/reserves,Beachcomber RP,49.312785,-124.213619,5,Marina Way,"This tree has five stems.  Growing almost at tide level, this sprawling tree dominates the beach, and is easily accessed via a short, well maintained trail. Washrooms are available at the trailhead.",Terry Nelson,,,,Terry Nelson,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1310_Ra_Beachcomber_TN_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1310_Ra_Beachcomber_TN_2.jpg"" target=""_blank"">2</a>         ",,,10,
arbutus,234,,338,26.5,1.86,25.2,2000,2000,Burgoyne Bay,Salt Spring Island,Institution/corp.,Texada Land Corp.,48.801644,-123.528275,,Private land - please respect private property and view from a distance.,,Kathy Dunster,,,,Kathy Dunster,b,0,,,1,10,
arbutus,72,,330,32,1.67,23,2000,1986,Foster Point Rd.,Thetis Island,Provincial land,,48.97415,-123.672263,20,"From Thetis Island ferry terminal at Preedy Harbour, follow Foster Point Rd. south for 850 m. Tree is on west side of Rd., 650 m south of Telegraph Harbour turnoff, approximately 30 m north of Highways works yard.",Beside roadway; possible damage from vehicles.,Robert Ringma,,,,Robert Ringma,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/72_Ra_Theti_RR_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/72_Ra_Theti_RR_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/72_Ra_Theti_RR_3.jpg"" target=""_blank"">3</a>      ",,1,10,
arbutus,64,,313,24.4,1.78,15.24,2002,1984,Garnet Point,Savary Island,Private land,,49.940556,-124.776944,15,Private land - please respect private property and view from a distance.  Savory Shores subdivision.  Owner has fenced the tree to protect it.,Very healthy.,Randy Stoltmann,,,,Kathy Dunster,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/64_Ra_Garne_KD_1.jpg"" target=""_blank"">1</a>            ",,1,10,
arbutus,62,Seafield Arbutus,289,21,1.62,23,2000,1984,Esquimalt Lagoon,Esquimalt,Private land,,hidden,,10,Private land - exact location is withheld.,A beautiful healthy arbutus on a flat farm close the ocean.  The tree shades an old cottage believed to have been used by Emily Carr.,Al Carder,,,,A MacKinnon,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/62_Ra_Esqu_AC_1.jpg"" target=""_blank"">1</a>            ",,1,10,
arbutus,177,Witty's Lagoon Arbutus,273,28,1.33,21,1999,1999,Witty's Lagoon,Sooke,Parks/reserves,Witty's Lagoon RP,48.392353,-123.515892,,To north of trail immediately after entering through Regional Park main entrance.,Healthy with minor defects.,Hans Roemer,,,,Hans Roemer,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/177_Ra_Witty_TW_1.jpg"" target=""_blank"">1</a>            ",,1,10,
Bebbs willow,354,Bebb's #1,152,17,0.71,9,2011,2012,Acles River,Clayhurst,Unknown,,56.50138,-120.15247,769,,On rich floodplain with cottonwood and white spruce. Understory with Calamagrostis canadensis. Rare lichen (Flavopunctelia flaventior) growing on the large Salix bebbiana.,Patrick Williston,,,,Darrell Peters,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/354_Wb_Acles_PW_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/354_Wb_Acles_PW_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/354_Wb_Acles_PW_3.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/354_Wb_Acles_PW_4.jpg"" target=""_blank"">4</a>   ",,1,46,
Bebbs willow,355,,130,17,0.54,8,2011,2012,Acles River,Clayhurst,Unknown,,56.50138,-120.15247,769,,On rich floodplain with cottonwood and white spruce. Understory with Calamagrostis canadensis.,Patrick Williston,,,,Darrell Peters,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/355_Wb_Acles2_PW_2.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/355_Wb_Acles2_PW_1.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/355_Wb_Acles2_PW_3.jpg"" target=""_blank"">3</a>      ",,1,46,
