common_name,tree_registry_id,tree_nickname,tree_score,height_(m),DBH_(m),crown_spread_(m),,last_measured,year_nominated,location,nearest_town,ownership,ownership_details,latitude,longitude,elevation_m,access_notes,tree_site_notes,Principle nominator,Co-nominator 1,Co-nominator 2,Co-nominator 3,Verifier,tree_type,has_photo,all photo LINK,highside_DBH(m),rank,top_lists,tree_sp_code,sp_split_range,datum,Year_only _last_measured,Year_only_nominated
amabilis fir,1187,Sutton Sentinel,431,67.7,1.64,8,,10/24/2022,10/25/2022,Sutton Road UWR,Woss,Tree Farm Lic.,37 UWR,50.002099,-126.305866,302,From Woss head south 12km on Highway 19 to the Mt.Cain turnoff and proceed onto the Nimpkish Main south. Travel south 27km on the Nimpkish Main past the Vernon Camp turnoff continuing on the Nimpkish Main until you reach the next left which is the Sutton Road turnoff. Go aproximately 1km on the Sutton Main until you will see the top of the tree above the advanced regen on the south low side of the road.,"Tree is showing sings of crown die back due to extreme age. It is growing on flat ground on high bench flood plain above the Nimpkish River near the junction of Sutton Creek and the Kla-anch wetlands. The area has high Elk useage.  The stand is very unique upper valley, CWHmm1 Amabilis dominant stand with multiple Amabalis well over 65m in height and we believed at least 2 may be taller than this nomination, but it is difficult to get the height of the others due to the heavy understory and brush.

The tallest tree previously measured adjacent to these, but now logged, was 248 ft tall. Because of this previously biggest trees loss, Chris Bowden-Green approached John Deal of Canfor to protect the remaining large Balsam within a proposed Elk Winter Range, due to its uniqueness as one of the last remaining old growth valley bottom Amabalis stands. ",Chris Bowden-Green,Michael Anderson,,,Michael Anderson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1187_Ba_Sutton_CB_1.jpg"" target=""_blank"">1</a>            ",1.64,1,1,1,,NAD 83,2022,2022
amabilis fir,176,,421,45.7,2.11,12.5,,5/1/1998,5/1/1998,Meares Island,Tofino,Provincial land,,missing,,,,,Adrian Dorst,,,,Adrian Dorst,c,0,,,2,1,1,,,1998,1998
amabilis fir,1213,LT# 9609-001- OGMA,421,63.4,1.64,12.9,,6/21/2022,12/2/2022,Mosquito Main,Port Renfrew,Provincial land,BCTS Legacy Tree,48.556835,-124.250832,511,,,BCTS Legacy Trees,,,,Greg Herringer,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1213_Ba_Mosquito_GH1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1213_Ba_Mosquito_GH2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1213_Ba_Mosquito_GH3.jpg"" target=""_blank"">3</a>      ",,3,1,1,,,2022,2022
amabilis fir,1604,Kiwi Lake Amabilis,409,60.5,1.66,6.3,,5/25/2024,10/30/2024,Kiwi Lake,Sayward,Parks/reserves,Schoen Lake PP,50.15648,-126.2039,791,,,Iain Reid,George Simpson, Rob White, Emily Haughton,Iain Reid,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/01/1604_Ba_KiwiLakeAmabilis_IR_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/01/1604_Ba_KiwiLakeAmabilis_IR_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/01/1604_Ba_KiwiLakeAmabilis_IR_3.jpg"" target=""_blank"">3</a>      ",,4,1,1,,,2024,2024
amabilis fir,1607,Schoen Cr. Amabilis,393,63.7,1.41,11.3,,5/20/2024,10/30/2024,Schoen Creek,Woss,Parks/reserves,Schoen Lake PP,50.159839,-126.278539,,,Coordinates estimated,Iain Reid,,,,Iain Reid,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/01/1607_Ba_SchoenCrAmabilis_IR_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/01/1607_Ba_SchoenCrAmabilis_IR_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/01/1607_Ba_SchoenCrAmabilis_IR_3.jpg"" target=""_blank"">3</a>      ",,5,1,1,,,2024,2024
amabilis fir,1965,Firry Fella,381,47.4,1.75,10.7,,6/7/2025,11/29/2025,Black Peaks,Ucluelet,Provincial land,BCTS Toquart,49.039944,-125.269583,963,Drive west from Port Alberni. Turn left on Maggie Lake/Toquart Forest Service Road. Turn left after crossing over Toquart River. Continue past Ellswick Lake. Turn left and cross over Lucky Creek and follow road up west side of Black Peaks. Hike/bushwack up main drainage on west side of mountain. ,,Iain Reid,Ian Cruickshank,,,Iain Reid,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/12/1965_Ba_FirryFella_IR_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/12/1965_Ba_FirryFella_IR_2.jpg"" target=""_blank"">2</a>         ",,6,1,1,,,2025,2025
amabilis fir,459,LT# C4DT-006,378,61,1.35,9.9,,5/13/2019,5/6/2019,Kite Lake,Macoah,Provincial land,BCTS Legacy Tree,49.050167,-125.2725,545,"Take Hiway 4 west from Port Alberni. Drive approximately 80km to the Maggie Lake FSR. Turn left and follow Maggie FSR for 11km to Macoah Villagfe turn-off. Keep left on Maggie FSR and drive another 4km to the end of Maggie FSR. Keep left and you are now on Toquaht FSR. Drive 9km to the junction with Lucky FSR. Turn right onto Lucky FSR and drive 2.5km to the junction with Black Peaks FSR. Keep left and follow Lucky FSR for another 2.4km. You will pass two lakes on your right. The second (and larger lake is Kite Lake). Once past Kite Lake, you will come to a major junction. Keep right and continue along Lucky FSR for another 1.4km. there will be a deactivated and brushed in spur road on your right. This is the start of teh rough trail up to Block F004C4DT. Hike up the spur for 700m to a very overgorwn junction. Keep to the left and hike a further 450 m. You will come across some yellow flagging that indicates a rough trail up to F004C4DT. The trail heads upslope from the spur road and is heavy going through an advanced plantation for approximately 150m. Once you reach the Old-growth it is easy but steep hiking. From the end of the flagged trail, continue up slope heading directly south for approximately 170m until you reach the upper falling boundary. The Amabilis fir (5 trees) will be visible both ahead of you and slightly to the right. To reach Cypress, continue angling upslope in a southeasterly direction along the base of the steep rock outcops. You will find C4DT-002 after hiking/climbing for 350m. Tree C4DT is approximately 145m above the first Cypress. Follow the rock bluff uphill (keeping the gully to your left). C4DT-001 is approximately 150m upslope and is situated on a rock knob in a nice open area of timber.",C4DT-006 is located in the CWHvm2(01) and is situated mid-slope. The slope (50%) has a N aspect. ,BCTS Legacy Trees,,,,Greg Herringer,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/459_Ba_KL_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/459_Ba_KL_2.jpg"" target=""_blank"">2</a>         ",,7,1,1,,,2019,2019
amabilis fir,1982,Jimminy Amabilis Cricket,376,48,1.72,7.5,,9/13/2025,11/29/2025,Rowley Reefs Rec Site,Port Alice,Parks/reserves,Rowley Reefs Rec. Site,50.38577,-127.96419,16,"From Port Alice, follow forest service roads to Gooding Cove. Park as close as you can to Rowley Reefs Recreation Site and bushwack/hike to tree. This is a remote setting and requires routefinding. ",,Iain Reid,Sean Allin,Gemma Kellett,Nakita Rubuliak,Iain Reid,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/12/1982_Ba_JimminyAmabilisCricket_IR_1.jpg"" target=""_blank"">1</a>            ",,8,1,1,,,2025,2025
amabilis fir,425,Staff of the Apostles,373,60,1.37,8.9,,7/16/2016,7/20/2016,Carmanah Valley,Youbou,Parks/reserves,Carmanah Walbran PP,48.66511,-124.69069,,"Follow the upper creek trail towards the three sisters. It is a prominent, single-stemmed tree visible from the trail and approximately 50m off the left-hand side of the trail, a few minutes before the trail cuts through a giant fallen tree.","Straight and healthy, closed-grown tree on rolling valley bottom. Tree is at the edge of an small drop-off, and as such shows some minor butt sweep. First few meters of tree blanketed in moss.",Matthew Beatty,TJ Watt,Jon Degner,,Matthew Beatty,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/425_Ba_Apostles_2.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/425_Ba_Apostles_1.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/425_Ba_Apostles_3.jpg"" target=""_blank"">3</a>      ",,9,1,1,,,2016,2016
amabilis fir,460,LT# C4DT-007,372,61,1.32,8.3,,5/13/2019,5/6/2019,Kite Lake,Macoah,Provincial land,BCTS Legacy Tree,49.0501,-125.2725,550,"Take Hiway 4 west from Port Alberni. Drive approximately 80km to the Maggie Lake FSR. Turn left and follow Maggie FSR for 11km to Macoah Villagfe turn-off. Keep left on Maggie FSR and drive another 4km to the end of Maggie FSR. Keep left and you are now on Toquaht FSR. Drive 9km to the junction with Lucky FSR. Turn right onto Lucky FSR and drive 2.5km to the junction with Black Peaks FSR. Keep left and follow Lucky FSR for another 2.4km. You will pass two lakes on your right. The second (and larger lake is Kite Lake). Once past Kite Lake, you will come to a major junction. Keep right and continue along Lucky FSR for another 1.4km. there will be a deactivated and brushed in spur road on your right. This is the start of teh rough trail up to Block F004C4DT. Hike up the spur for 700m to a very overgorwn junction. Keep to the left and hike a further 450 m. You will come across some yellow flagging that indicates a rough trail up to F004C4DT. The trail heads upslope from the spur road and is heavy going through an advanced plantation for approximately 150m. Once you reach the Old-growth it is easy but steep hiking. From the end of the flagged trail, continue up slope heading directly south for approximately 170m until you reach the upper falling boundary. The Amabilis fir (5 trees) will be visible both ahead of you and slightly to the right. To reach Cypress, continue angling upslope in a southeasterly direction along the base of the steep rock outcops. You will find C4DT-002 after hiking/climbing for 350m. Tree C4DT is approximately 145m above the first Cypress. Follow the rock bluff uphill (keeping the gully to your left). C4DT-001 is approximately 150m upslope and is situated on a rock knob in a nice open area of timber.",C4DT-007 is located in the CWHvm2(03) and is situated on the upper slope (55%) with a N aspect. This is an area of medium to large colluvium originated on the near-vertical rock face 20m upslope.,BCTS Legacy Trees,,,,Greg Herringer,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/460_Ba_KL_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/460_Ba_KL_2.jpg"" target=""_blank"">2</a>         ",,10,1,1,,,2019,2019
